Phi,Ha,Ra,Ave Nu,CatBoost Pred Nu
0,0,10^3,3.0669,3.074069069
0,0,10^4,3.9737,3.965451194
0,0,10^5,5.7426,5.750005671
0,0,10^6,8.6036,8.599931534
0,20,10^3,3.0373,3.036644772
0,20,10^4,3.3458,3.344842646
0,20,10^5,5.1848,5.191903805
0,20,10^6,8.2882,8.286066046
0,40,10^3,3.0349,3.031535419
0,40,10^4,3.0728,3.169655856
0,40,10^5,4.3567,4.349763729
0,40,10^6,7.696,7.705065757
0,60,10^3,3.0347,3.06851666
0,60,10^4,3.0426,3.043452178
0,60,10^5,3.7188,3.722411125
0,60,10^6,6.9912,6.989520696
0,80,10^3,3.0346,3.038371008
0,80,10^4,3.0372,3.033899252
0,80,10^5,3.3546,3.405172682
0,80,10^6,6.3002,6.263285459
0,100,10^3,3.0346,3.034550908
0,100,10^4,3.0357,3.034962882
0,100,10^5,3.1802,3.243577332
0,100,10^6,5.6809,5.678837088
0.01,0,10^3,3.1554,3.157114128
0.01,0,10^4,4.0554,4.040325441
0.01,0,10^5,5.855,5.88115187
0.01,0,10^6,8.7643,8.7737134
0.01,20,10^3,3.1286,3.137923389
0.01,20,10^4,3.4032,3.400557821
0.01,20,10^5,5.2543,5.280112763
0.01,20,10^6,8.4201,8.418507422
0.01,40,10^3,3.1265,3.111989676
0.01,40,10^4,3.1575,3.186410855
0.01,40,10^5,4.3816,4.37077879
0.01,40,10^6,7.7806,7.774285378
0.01,60,10^3,3.1263,3.151774937
0.01,60,10^4,3.1328,3.13780605
0.01,60,10^5,3.7422,3.726602494
0.01,60,10^6,7.0305,7.030373358
0.01,80,10^3,3.1263,3.125208083
0.01,80,10^4,3.1284,3.126528884
0.01,80,10^5,3.3995,3.405421683
0.01,80,10^6,6.3064,6.300863954
0.01,100,10^3,3.1263,3.127627936
0.01,100,10^4,3.1272,3.134191584
0.01,100,10^5,3.2461,3.253353611
0.01,100,10^6,5.6659,5.668154801
0.02,0,10^3,3.2457,3.245980148
0.02,0,10^4,4.1373,4.13952093
0.02,0,10^5,5.9675,5.975214824
0.02,0,10^6,8.925,8.913963541
0.02,20,10^3,3.2214,3.216136368
0.02,20,10^4,3.4649,3.462773173
